# X , Y , E , DX
1
0.00232478,9.34328,0.709779,0.0020133
0.00458718,16.0397,0.468725,0.00192328
0.00684958,44.6915,1.41539,0.00189569
0.00911198,134.87,2.33361,0.00199785
0.0113744,785.417,15.873,0.00205609
0.0136368,2055.78,23.2718,0.00217489
0.0158992,2212.87,25.0578,0.00229348
0.0181616,2460.02,24.2473,0.00239931
0.020424,2388.06,18.0143,0.00247893
0.0226864,1803.81,16.0929,0.00256543
0.0249488,1003.68,5.99016,0.00260186
0.0272112,808.275,5.22593,0.00263457
0.0294736,507.97,3.02317,0.00269503
0.031736,410.457,1.95314,0.00273969
0.0339984,307.565,1.721,0.0027873
0.0362608,216.698,0.876822,0.00285656
0.0385232,186.988,0.877937,0.00290755
0.0407856,134.28,0.549018,0.00296543
0.043048,119.157,0.427418,0.0030476
0.0453104,96.6811,0.386943,0.00310267
0.0475728,75.627,0.231878,0.00317061
0.0498352,66.4143,0.235995,0.00325667
0.0520976,52.745,0.163045,0.00332773
0.05436,48.4816,0.140717,0.00339323
0.0566224,40.2324,0.123375,0.00348751
0.0588848,34.3896,0.0877661,0.00355319
0.0611472,30.9487,0.0919512,0.00364613
0.0634096,26.0189,0.0659708,0.00373615
0.065672,23.8937,0.0557531,0.00381589
0.0679344,20.237,0.0509797,0.00390849
0.0701968,18.1448,0.0387775,0.00399867
0.0724592,16.2251,0.0408809,0.00406174
0.0747216,14.4114,0.0301279,0.00415516
0.076984,13.4342,0.028558,0.00423386
0.0792464,11.7293,0.0247989,0.00430617
0.0815088,11.1193,0.0213733,0.00443354
0.0837712,9.92202,0.0209827,0.00445424
0.0860336,8.99862,0.0156419,0.00459522
0.088296,8.49636,0.0160139,0.00466863
0.0905584,7.85821,0.0148875,0.00474494
0.0928208,7.12403,0.0127971,0.00485222
0.0950832,6.7699,0.0129581,0.00493926
0.0973456,6.19163,0.00986805,0.00501939
0.099608,5.96107,0.0102763,0.00512144
0.10187,5.44425,0.00905887,0.00519627
0.104133,5.32293,0.00795458,0.00532484
0.106395,4.89005,0.00835829,0.00537297
0.108658,4.53863,0.00706189,0.00548339
0.11092,4.5166,0.0075865,0.00559051
0.113182,4.1485,0.00659148,0.00569599
0.115445,4.0964,0.00622435,0.00575616
0.117707,3.69439,0.00592136,0.00587507
0.11997,3.77256,0.00551431,0.00599054
0.122232,3.35089,0.00517686,0.00606209
0.124494,3.29082,0.00510591,0.00616088
0.126757,3.1385,0.00423306,0.00625433
0.129019,3.06879,0.00443808,0.00635325
0.131282,2.87861,0.00375125,0.00647504
0.133544,2.85892,0.00404431,0.00656997
0.135806,2.78898,0.00349283,0.00670515
0.138069,2.66808,0.00329876,0.00681656
0.140331,2.59619,0.00335171,0.00695484
0.142594,2.52184,0.00288555,0.00704784
0.144856,2.53808,0.00321292,0.00722162
0.147118,2.4828,0.00280836,0.00733503
0.149381,2.42459,0.00279274,0.00746144
0.151643,2.30429,0.00267094,0.00762406
0.153906,2.18492,0.00234132,0.00773543
0.156168,2.24804,0.00257582,0.00793215
0.15843,2.10077,0.00214968,0.00809307
0.160693,2.14064,0.00230852,0.0082353
0.162955,2.0007,0.00207617,0.00838376
0.165218,2.08367,0.00209442,0.00857472
0.16748,1.91349,0.00200849,0.00868331
0.169742,1.8919,0.00180773,0.00892482
0.172005,1.90198,0.00197035,0.00904882
0.174267,1.8634,0.00177703,0.00924326
0.17653,1.76948,0.00166282,0.00943445
0.178792,1.81091,0.00171519,0.00956254
0.181054,1.77599,0.00163769,0.00980488
0.183317,1.70952,0.00161196,0.00995011
0.185579,1.73563,0.00160922,0.0101434
0.187842,1.70462,0.00148404,0.0103764
0.190104,1.65833,0.00146749,0.0105471
0.192366,1.67955,0.00143997,0.0107355
0.194629,1.65594,0.0014903,0.0109622
0.196891,1.61469,0.00131746,0.0111471
0.199154,1.65943,0.00141146,0.0113915
0.201416,1.67157,0.00141908,0.0115784
0.203678,1.63256,0.00129195,0.0117673
0.205941,1.6139,0.00139887,0.012011
0.208203,1.61324,0.0012173,0.0122274
0.210466,1.58688,0.0012835,0.0124266
0.212728,1.55482,0.0012372,0.0126529
0.21499,1.56506,0.00118675,0.0129049
0.217253,1.54572,0.00125685,0.0130589
0.219515,1.54363,0.00111191,0.0133043
0.221778,1.48999,0.0011654,0.0134998
0.22404,1.51802,0.00113686,0.0137487
0.226302,1.45811,0.00103966,0.0139386
0.228565,1.49212,0.00113594,0.0141531
0.230827,1.48252,0.00104811,0.0143515
0.23309,1.52714,0.00118205,0.0146494
0.235352,1.44068,0.00104616,0.0148436
0.237614,1.48017,0.00113519,0.0150335
0.239877,1.39746,0.00107421,0.0153295
0.242139,1.38329,0.00103098,0.0154842
0.244402,1.40409,0.00111133,0.0156994
0.246664,1.37249,0.0010004,0.0160131
0.248926,1.41973,0.00116986,0.0161667
0.251189,1.45953,0.00114654,0.0164298
0.253451,1.38926,0.00116269,0.0166609
0.255714,1.40192,0.00123223,0.0167973
0.257976,1.41721,0.00114446,0.0171077
0.260238,1.32775,0.00119765,0.0172913
0.262501,1.33322,0.00110747,0.0175239
0.264763,1.3465,0.00125909,0.0178241
0.267026,1.42017,0.00142437,0.0179383
0.269288,1.39336,0.00129692,0.0182463
0.27155,1.32496,0.0013834,0.0184218
0.273813,1.36062,0.00131114,0.0186265
0.276075,1.32886,0.00147526,0.0189069
0.278338,1.31373,0.00147641,0.0190349
0.2806,1.33972,0.00165427,0.0192846
0.282862,1.31482,0.00171675,0.0195668
